m_ref,m_da,Q_W,Q_required,Error,water_kg_hr,water_kg_per_kWh,NTU,effectiveness,W_comp,COP,Re,flow_regime
11.2,2.0,72321.17774534071,47870.70142789434,24450.476317446373,31.356563989978415,0.1533811844373598,0.03916986494009436,0.0384126447057892,204435.5316788175,0.3537603133439755,132055583.04948497,Turbulent
11.3,2.0,72966.9025466384,47870.70142789434,25096.201118744066,31.356563989978415,0.15202382882286986,0.03916986494009436,0.0384126447057892,206260.84892594983,0.3537603133439755,133234650.75528395,Turbulent
11.4,2.0,73612.62734793608,47870.70142789434,25741.925920041744,31.356563989978415,0.1506902864647745,0.03916986494009436,0.0384126447057892,208086.1661730821,0.3537603133439755,134413718.46108294,Turbulent
11.5,2.0,74258.35214923377,47870.70142789434,26387.650721339436,31.356563989978415,0.14937993614768952,0.03916986494009436,0.0384126447057892,209911.4834202144,0.3537603133439755,135592786.1668819,Turbulent
11.6,2.0,74904.07695053145,47870.70142789434,27033.375522637114,31.356563989978415,0.14809217807745081,0.03916986494009436,0.0384126447057892,211736.80066734672,0.3537603133439755,136771853.87268087,Turbulent
11.7,2.0,75549.80175182913,47870.70142789434,27679.100323934792,31.356563989978415,0.14682643296567774,0.03916986494009436,0.0384126447057892,213562.117914479,0.3537603133439755,137950921.57847983,Turbulent
11.8,2.0,76195.52655312682,47870.70142789434,28324.825125232484,31.356563989978415,0.14558214116088383,0.03916986494009436,0.0384126447057892,215387.43516161133,0.35376031334397545,139129989.2842788,Turbulent
11.9,2.0,76841.25135442452,47870.70142789434,28970.549926530177,31.356563989978415,0.14435876182339744,0.03916986494009436,0.0384126447057892,217212.7524087436,0.35376031334397556,140309056.9900778,Turbulent
12.0,2.0,77486.9761557222,47870.70142789434,29616.274727827855,31.356563989978415,0.14315577214153577,0.03916986494009436,0.0384126447057892,219038.0696558759,0.3537603133439755,141488124.69587675,Turbulent
12.1,2.0,78132.70095701987,47870.70142789434,30261.999529125533,31.356563989978415,0.14197266658664706,0.03916986494009436,0.0384126447057892,220863.3869030082,0.35376031334397545,142667192.40167573,Turbulent
